neuron_id,role,label,source_locator,source_artifact,id_namespace,dataset_id,verification_status,notes
720575940603514141,table3_activation_input,horseshoe,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940604130481,table3_activation_input,horseshoe,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940604470240,table3_activation_input,amulet,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940604722278,table3_activation_input,horn,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940604764862,table3_activation_input,aDT6,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940604791217,table3_activation_input,OinkT,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940605699104,table3_activation_input,diatom,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940607014530,table3_activation_input,sundrop,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940607272649,table3_activation_input,roundup,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940607641010,table3_activation_input,shark,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940608402012,table3_activation_input,spray,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940608451420,table3_activation_input,horntail,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940608901897,table3_activation_input,ruby,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940609030776,table3_activation_input,brontosaraus,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940609589443,table3_activation_input,knees,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940609617614,table3_activation_input,brontosaraus,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940610001220,table3_activation_input,bract,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
720575940610056772,table3_activation_input,kitty,figures.ipynb:types_and_ids,sez_neurons.pickle,flywire_root_id,flywire-630-2023-03-23,SOURCE_VERIFIED_COMPUTATIONAL,"Computational source mapping only; upstream pickle sha256=2bc5a2a8289924f2de39a8e68bdc07025cb6d6c6c6ddc83a973c0cace7cec2ce. No driver-line, cell-identity, assay-equivalence, or biological-validation claim."
