record_id,paper_id,gene_model,condition,genotype,sex,age_group_days,assay,metric,statistic,value,unit,uncertainty_type,uncertainty,sample_size,figure_table,source_url,extraction_method,review_status,calibration_compatibility,notes
riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,dopamine_deficiency,neural_dopamine_deficient,DTHg^FS/+; ple,female,5,Spontaneous walking in an open arena,walking_speed,median,7.8,mm/s,,,13 flies,Figure 2A,https://pubmed.ncbi.nlm.nih.gov/21187381/,manual_figure_reading_existing_target,pending_second_reviewer,WAITING_STATISTIC_VARIANCE_AND_ASSAY_TRANSFER,The paper confirms a box-and-whisker endpoint at day 5; the numeric median and variance still require independent figure review.
pokrzywa_alpha_speed_day1,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,alpha_synuclein_expression,w; +; UAS-Hsap/nSyb-Gal4,female,1,FlyTracker locomotion tracking in vials,walking_speed,mean,5.6,mm/s,SE,,3-10 independent vials; 10 flies per vial,Figure 2A,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,reported_in_results_text,pending_second_reviewer,WAITING_UNCERTAINTY_AND_ASSAY_TRANSFER,Two recordings per vial were averaged; the numeric SE is not reported in the prose.
pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,alpha_synuclein_expression,w; +; UAS-Hsap/nSyb-Gal4,female,21,FlyTracker locomotion tracking in vials,walking_speed,mean,2.5,mm/s,SE,,3-10 independent vials; 10 flies per vial,Figure 2A,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,reported_in_results_text,pending_second_reviewer,WAITING_UNCERTAINTY_AND_ASSAY_TRANSFER,The article describes decline to this value within the first three weeks; exact SE requires figure or supplementary extraction.
pokrzywa_control_speed_day1,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,transgenic_control,w; +; UAS-Hsap/+,female,1,FlyTracker locomotion tracking in vials,walking_speed,mean,6.0,mm/s,SE,,3-10 independent vials; 10 flies per vial,Figure 2A,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,reported_in_results_text,pending_second_reviewer,WAITING_UNCERTAINTY_AND_ASSAY_TRANSFER,Age-matched transgenic control for the alpha-synuclein condition.
pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,transgenic_control,w; +; UAS-Hsap/+,female,21,FlyTracker locomotion tracking in vials,walking_speed,mean,5.0,mm/s,SE,,3-10 independent vials; 10 flies per vial,Figure 2A,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,reported_in_results_text,pending_second_reviewer,WAITING_UNCERTAINTY_AND_ASSAY_TRANSFER,Age-matched transgenic control; exact SE requires figure or supplementary extraction.
dumitrescu_parkin_activity_day1,dumitrescu_2023_parkin_rnai,parkin,parkin_rnai_dopaminergic,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,male,1,Drosophila Activity Monitor infrared beam-break counts,locomotor_activity_reduction,reported_relative_difference,30,percent_vs_age_matched_control,not_reported_for_relative_difference,,29 flies,Figure 1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897283/,reported_in_results_text,pending_second_reviewer,NOT_DIRECTLY_COMPARABLE_DAM_COUNTS,Group was called 1 dpe; mean age at the start of seven-day monitoring was 1.6 +/- 0.1 dpe.
dumitrescu_parkin_activity_day45,dumitrescu_2023_parkin_rnai,parkin,parkin_rnai_dopaminergic,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,male,45,Drosophila Activity Monitor infrared beam-break counts,locomotor_activity_reduction,reported_relative_difference,85,percent_vs_age_matched_control,not_reported_for_relative_difference,,52 flies,Figure 1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897283/,reported_in_results_text,pending_second_reviewer,NOT_DIRECTLY_COMPARABLE_DAM_COUNTS,Group was called 45 dpe; mean age at the start of seven-day monitoring was 41.7 +/- 0.1 dpe.
pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,pink1,pink1_b9_mutant,Pink1^B9,not_reported_in_extracted_section,28,Open-field locomotor tracking,distance_traveled,reported_center,62.091,mm,reported_plus_minus,61.288,21 flies,Figure 3B,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,reported_in_results_text,pending_second_reviewer,WAITING_STATISTIC_AND_ASSAY_TRANSFER,The prose reports center +/- spread but does not name the spread statistic in the extracted sentence.
pozo_control_distance_day28,pozo_2022_pink1_serotonin,pink1,control,w^1118,not_reported_in_extracted_section,28,Open-field locomotor tracking,distance_traveled,reported_center,323.326,mm,reported_plus_minus,236.209,20 flies,Figure 3B,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,reported_in_results_text,pending_second_reviewer,WAITING_STATISTIC_AND_ASSAY_TRANSFER,Age-matched control; assay duration and transfer to the FlyGym endpoint require review.
pozo_pink1_activity_time_day28,pozo_2022_pink1_serotonin,pink1,pink1_b9_mutant,Pink1^B9,not_reported_in_extracted_section,28,Open-field locomotor tracking,activity_time,reported_center,11.865,s,reported_plus_minus,12.914,21 flies,Figure 3C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,reported_in_results_text,pending_second_reviewer,WAITING_STATISTIC_AND_ASSAY_TRANSFER,The prose reports center +/- spread but does not name the spread statistic in the extracted sentence.
