record_id,paper_id,full_text_status,supplementary_status,figure_status,uncertainty_status,assay_transfer_status,genotype_age_sex_status,sample_size_status,root_id_mapping_status,decision,reviewer_2,review_date,notes
riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,VERIFIED_PRIMARY_ABSTRACT_AND_RECORD,NOT_IDENTIFIED_IN_INTAKE,FIGURE_2A_REFERENCED,EXACT_VARIANCE_NOT_REPORTED,TRANSFER_REVIEW_REQUIRED,PARTIAL_AGE_AND_SEX_RECORDED,SAMPLE_SIZE_RECORDED,CLASS_LEVEL_ONLY_NOT_GENE_SPECIFIC,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Median 7.8 mm/s is retained as a candidate value; do not promote without independent figure review and assay transfer decision.
pokrzywa_alpha_speed_day1,pokrzywa_2017_alpha_syn_flytracker,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_2A_AND_S1_TABLE_REVIEWED,SE_NOT_NUMERICALLY_REPORTED,TRANSFER_REVIEW_REQUIRED,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,WAITING_REVIEWED_PAN_NEURONAL_MAPPING,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Results text reports mean velocity; supplementary table provides tests but not the numeric SE required for a target.
pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_2A_AND_S1_TABLE_REVIEWED,SE_NOT_NUMERICALLY_REPORTED,TRANSFER_REVIEW_REQUIRED,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,WAITING_REVIEWED_PAN_NEURONAL_MAPPING,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Age-matched endpoint is usable as candidate evidence only; exact uncertainty and transfer remain unresolved.
pokrzywa_control_speed_day1,pokrzywa_2017_alpha_syn_flytracker,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_2A_AND_S1_TABLE_REVIEWED,SE_NOT_NUMERICALLY_REPORTED,TRANSFER_REVIEW_REQUIRED,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,WAITING_REVIEWED_PAN_NEURONAL_MAPPING,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Control endpoint is retained to preserve the within-paper comparison.
pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_2A_AND_S1_TABLE_REVIEWED,SE_NOT_NUMERICALLY_REPORTED,TRANSFER_REVIEW_REQUIRED,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,WAITING_REVIEWED_PAN_NEURONAL_MAPPING,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Control endpoint is retained to preserve the within-paper comparison.
dumitrescu_parkin_activity_day1,dumitrescu_2023_parkin_rnai,VERIFIED_PMC_FULL_TEXT,NOT_IDENTIFIED_IN_INTAKE,FIGURE_1_REFERENCED,RELATIVE_DIFFERENCE_HAS_NO_VARIANCE,INCOMPATIBLE_WITH_SPEED_ENDPOINT,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,DRIVER_CLASS_REQUIRES_REVIEWED_ROOT_IDS,NOT_COMPARABLE,Tuan Le,2026-08-30,DAM beam-break activity is not converted to FlyGym walking speed.
dumitrescu_parkin_activity_day45,dumitrescu_2023_parkin_rnai,VERIFIED_PMC_FULL_TEXT,NOT_IDENTIFIED_IN_INTAKE,FIGURE_1_REFERENCED,RELATIVE_DIFFERENCE_HAS_NO_VARIANCE,INCOMPATIBLE_WITH_SPEED_ENDPOINT,GENOTYPE_AGE_SEX_RECORDED,SAMPLE_SIZE_RECORDED,DRIVER_CLASS_REQUIRES_REVIEWED_ROOT_IDS,NOT_COMPARABLE,Tuan Le,2026-08-30,DAM beam-break activity is not converted to FlyGym walking speed.
pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_3B_REVIEWED,STATISTIC_LABEL_REQUIRES_CONFIRMATION,TRANSFER_REVIEW_REQUIRED,AGE_RECORDED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NO_CELL_SPECIFIC_MAPPING_IN_PAPER,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,The figure caption describes IQR and extrema while prose uses plus/minus notation; the spread must not be treated as SD.
pozo_control_distance_day28,pozo_2022_pink1_serotonin,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_3B_REVIEWED,STATISTIC_LABEL_REQUIRES_CONFIRMATION,TRANSFER_REVIEW_REQUIRED,AGE_RECORDED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NO_CELL_SPECIFIC_MAPPING_IN_PAPER,PENDING_HUMAN_SIGNOFF,Tuan Le,2026-08-30,Control endpoint remains paired with the Pink1 value; assay duration and unit transfer need review.
pozo_pink1_activity_time_day28,pozo_2022_pink1_serotonin,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_3C_REVIEWED,STATISTIC_LABEL_REQUIRES_CONFIRMATION,INCOMPATIBLE_WITH_SPEED_ENDPOINT,AGE_RECORDED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NO_CELL_SPECIFIC_MAPPING_IN_PAPER,NOT_COMPARABLE,Tuan Le,2026-08-30,Activity time is not treated as walking speed or a directly interchangeable target.
pozo_control_activity_time_day28,pozo_2022_pink1_serotonin,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_3C_REVIEWED,STATISTIC_LABEL_REQUIRES_CONFIRMATION,INCOMPATIBLE_WITH_SPEED_ENDPOINT,AGE_RECORDED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NO_CELL_SPECIFIC_MAPPING_IN_PAPER,NOT_COMPARABLE,Tuan Le,2026-08-30,Control endpoint remains paired with the Pink1 value and retains the same statistic caveat.
hwang_dj1_climbing_day5,hwang_2013_dj1_dlp,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_5E_REVIEWED,NUMERIC_CENTER_NOT_IN_TEXT,MANUAL_ASSAY_TRANSFER_REQUIRED,AGE_RECORDED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NOT_MAPPABLE_TO_ROOT_IDS_FROM_PAPER,VALIDATION_ONLY,Tuan Le,2026-08-30,Mean plus or minus SE and n at least 12 are reported; exact bar center requires a documented manual read.
godena_lrrk2_r1441c_climbing,godena_2014_lrrk2_microtubule,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_6C_AND_SUPPLEMENT_REVIEWED,NUMERIC_CENTER_NOT_IN_TEXT,MANUAL_ASSAY_TRANSFER_REQUIRED,AGE_NOT_EXACTLY_REPORTED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NOT_MAPPABLE_TO_CURRENT_BRAIN_ONLY_CONNECTOME,VALIDATION_ONLY,Tuan Le,2026-08-30,Motor-neuron driver and untreated sample count are recorded; numeric center and root-ID scope remain unresolved.
godena_lrrk2_y1699c_climbing,godena_2014_lrrk2_microtubule,VERIFIED_PMC_FULL_TEXT,VERIFIED_SUPPLEMENTARY_PACKAGE,FIGURE_6C_AND_SUPPLEMENT_REVIEWED,NUMERIC_CENTER_NOT_IN_TEXT,MANUAL_ASSAY_TRANSFER_REQUIRED,AGE_NOT_EXACTLY_REPORTED_SEX_NOT_REPORTED,SAMPLE_SIZE_RECORDED,NOT_MAPPABLE_TO_CURRENT_BRAIN_ONLY_CONNECTOME,VALIDATION_ONLY,Tuan Le,2026-08-30,Motor-neuron driver and untreated sample count are recorded; numeric center and root-ID scope remain unresolved.
