condition_id,seed,run_status,skip_reason,step_count,timestep_s,duration_s,mean_planar_speed_mm_s,distance_traveled_mm,displacement_mm,walking_speed_mm_s_raw,total_distance_mm_raw,thorax_displacement_mm_raw,no_nan,no_inf,locomotion_detected,contact_detected,timestamp_valid,quaternion_valid,joint_action_trajectory_valid,metric_contract_status
alpha_synuclein,0,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
alpha_synuclein,1,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
alpha_synuclein,2,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
alpha_synuclein,3,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
alpha_synuclein,4,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
alpha_synuclein,5,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Pan-neuronal driver chưa phải reviewed root-ID set gene-specific.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,0,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,1,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,2,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,3,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,4,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,5,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=Thiếu cell-specific or explicitly approved model scope; target chưa approved.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,0,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,1,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,2,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,3,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,4,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
parkin,5,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=WAITING_REVIEWED_ROOT_ID_MAPPING; blocker=TH-GAL4 chưa có reviewed root-ID set; DAM không tương đương speed.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,0,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,1,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,2,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,3,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,4,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
dj1,5,SKIPPED,MISSING_DISEASE_ARTIFACT: condition_status=WAITING_TARGET_DATA; target_neurons_or_edges_missing; burden_curve_missing; full_burden_missing; condition_provenance_missing; reviewed_mapping_or_checkpoint_provenance_missing; mapping_status=NOT_MAPPABLE_FROM_PAPER; blocker=Paper chỉ cung cấp climbing evidence; không suy ra root IDs.,5000,0.0001,0.5,,,,,,,,,,,,,,
