condition_id,burden_level,burden_label,n_success,mean_planar_speed_mm_s_mean,mean_planar_speed_mm_s_std,distance_traveled_mm_mean,distance_traveled_mm_std,displacement_mm_mean,displacement_mm_std,operator_applied_count,qc_pass_count
alpha_synuclein,0.0,burden_0.00,6,1.7779315914982938,0.21072534099524642,1.5277077403289103,0.11767701363817501,0.8889657957491469,0.10536267049762321,6,6
alpha_synuclein,0.25,burden_0.25,6,1.4631854622933858,0.22924600219187077,1.3968266907809752,0.1437032041425513,0.7315927311466929,0.11462300109593539,6,6
alpha_synuclein,0.5,burden_0.50,6,1.0411944074216308,0.26381353369959304,1.3977069204457546,0.17033085261644654,0.5205972037108154,0.13190676684979652,6,6
alpha_synuclein,0.75,burden_0.75,6,0.5042267832593642,0.3392829991647652,1.7693996252234738,0.40421301063749115,0.2521133916296821,0.1696414995823826,6,6
alpha_synuclein,1.0,burden_1.00,6,3.7563172091853843,1.2318500964536887,5.2565471512178705,0.6145083200578659,1.8781586045926921,0.6159250482268444,6,6
pink1,0.0,burden_0.00,6,1.7779315914982938,0.21072534099524642,1.5277077403289103,0.11767701363817501,0.8889657957491469,0.10536267049762321,6,6
pink1,0.25,burden_0.25,6,1.4631854622933858,0.22924600219187077,1.3968266907809752,0.1437032041425513,0.7315927311466929,0.11462300109593539,6,6
pink1,0.5,burden_0.50,6,1.0411944074216308,0.26381353369959304,1.3977069204457546,0.17033085261644654,0.5205972037108154,0.13190676684979652,6,6
pink1,0.75,burden_0.75,6,0.5042267832593642,0.3392829991647652,1.7693996252234738,0.40421301063749115,0.2521133916296821,0.1696414995823826,6,6
pink1,1.0,burden_1.00,6,3.7563172091853843,1.2318500964536887,5.2565471512178705,0.6145083200578659,1.8781586045926921,0.6159250482268444,6,6
