metric,value,unit,evidence_status,notes
frame_count,100001,frame,PASS,"Rollout thật, gồm frame t=0"
duration_s,9.999999999990033,s,PASS,"100000 bước với timestep 0.0001 s"
timestep_s,0.0001,s,PASS,"Suy ra từ FlyGym/MuJoCo runtime"
thorax_planar_displacement,20.3336060683156,mm,PASS,"Từ thorax[0] đến thorax[-1]"
total_distance,27.38377914055641,mm,PASS,"Metrics pipeline"
walking_speed,2.738350530553187,mm/s,PASS,"Metrics pipeline"
walking_speed_max,32.2898516276488,mm/s,PASS,"Metrics pipeline"
com_velocity_mean,3.261754719938973,mm/s,PASS,"Metrics pipeline"
heading_variance,0.0005181498083327671,rad2,PASS,"Metrics pipeline"
body_orientation_variance,0.0002733643996327487,rad2,PASS,"Metrics pipeline"
contact_any_fraction,1.0,fraction,PASS,"Ít nhất một contact sensor hoạt động ở mọi frame"
joint_position_max_change,0.9549815440490499,rad,PASS,"Joint trajectory giữa frame đầu và cuối"
joint_position_rms_change,0.3469385017933963,rad,PASS,"Joint trajectory giữa frame đầu và cuối"
actuator_max_change,2.587816412072115,arb_unit,PASS,"Actuator position giữa frame đầu và cuối"
timestamp_dt_min,0.00009999999999976694,s,PASS,"Tất cả sai khác timestamp dương"
timestamp_dt_max,0.00010000000000021103,s,PASS,"Tất cả sai khác timestamp dương"
nan_or_inf_count,0,count,PASS,"Các mảng số đã kiểm tra trong rollout.npz"
observation_array,,not_recorded,NOT_VERIFIED,"Artifact còn lại không lưu observation array"
video_frame_count,301,frame,PASS,"Đã đọc tuần tự frame 0 đến 300"
video_duration,10.03,s,PASS,"MP4 H.264, 30 FPS"
video_visual_tracking,,fixed_camera,PARTIAL,"Fly rời khỏi khung hình khoảng sau 3-4 s"
