burden,expected_gain,seed,status,median_planar_speed_mm_s,distance_traveled_mm,finite_qc,timestamp_monotonic,contact_detected,joint_trajectory_max_delta,action_trajectory_max_delta,checkpoint_tensor_sha256,checkpoint_file_sha256,rollout_sha256,source_artifact_reference
0.25,0.7875,0,PASS,2.223834600619149,1.407676499241302,True,True,True,0.06424271413574759,42.40996710026995,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,5a190fa5c976d1a9c4fabedc33abcb6b958ec6d5f7cc27f498cf3e43f6e01b98,d8d67764544af89211938d2d2d88b7576efac7f23d578fbc80f2949cb86f83ac,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_000/rollout.npz
0.25,0.7875,1,PASS,2.271621476378678,1.3758130625006904,True,True,True,0.06424316175748501,42.40996710026995,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,5a190fa5c976d1a9c4fabedc33abcb6b958ec6d5f7cc27f498cf3e43f6e01b98,f28797fb04371d8f1896734f0314693bb25076e401db701366fa015562463d3d,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_001/rollout.npz
0.25,0.7875,2,PASS,2.6389774969679616,1.6524886881762586,True,True,True,0.06424280446577096,42.40996710026995,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,5a190fa5c976d1a9c4fabedc33abcb6b958ec6d5f7cc27f498cf3e43f6e01b98,b7b0327ae1456c86a524b091d42479ca20b30917d8d4da253b54cd895f936a60,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_002/rollout.npz
0.25,0.7875,3,PASS,2.6109203935790717,1.6540584548376787,True,True,True,0.06424393494741076,42.40996710026995,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,5a190fa5c976d1a9c4fabedc33abcb6b958ec6d5f7cc27f498cf3e43f6e01b98,25ebde7ea7f4820a10ee2d28c715c35999674fb671b3ff46f9b46f91275590c3,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_003/rollout.npz
0.25,0.7875,4,PASS,2.5853208610209686,1.5402164022849538,True,True,True,0.06424299698609989,42.40996710026995,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,5a190fa5c976d1a9c4fabedc33abcb6b958ec6d5f7cc27f498cf3e43f6e01b98,cbe59f9aedc71228c600b3f51c9a3211d0339ebf364ba8f466d591bd431bdd5f,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_004/rollout.npz
0.5,0.575,0,PASS,2.223834600619149,1.407676499241302,True,True,True,0.06424271413574759,42.40996710026995,a9e25a8aeed96cd8ad51934b383916bb484cbe16cf2210f13d06aed192e75db6,9d4b192954cb89136d7622c38733b92b9e5131482c3284f878f851e4d06209a7,4ea3e66dbd315d5d67dbc9f6367f472459606d0486a84e16723fe5f8d734204a,experiments/gate_27_riemensperger_robustness/runs/burden_050/seed_000/rollout.npz
0.5,0.575,1,PASS,2.271621476378678,1.3758130625006904,True,True,True,0.06424316175748501,42.40996710026995,a9e25a8aeed96cd8ad51934b383916bb484cbe16cf2210f13d06aed192e75db6,9d4b192954cb89136d7622c38733b92b9e5131482c3284f878f851e4d06209a7,34179515952dd10472eb7b3458be7fbc60ab0e09345731d60209b940dc037abe,experiments/gate_27_riemensperger_robustness/runs/burden_050/seed_001/rollout.npz
0.5,0.575,2,PASS,2.6389774969679616,1.6524886881762586,True,True,True,0.06424280446577096,42.40996710026995,a9e25a8aeed96cd8ad51934b383916bb484cbe16cf2210f13d06aed192e75db6,9d4b192954cb89136d7622c38733b92b9e5131482c3284f878f851e4d06209a7,d6895b94b3efda9d21bc96c8a905176828cb3c14e7c0979539ee54ba299da2e8,experiments/gate_27_riemensperger_robustness/runs/burden_050/seed_002/rollout.npz
0.5,0.575,3,PASS,2.6109203935790717,1.6540584548376787,True,True,True,0.06424393494741076,42.40996710026995,a9e25a8aeed96cd8ad51934b383916bb484cbe16cf2210f13d06aed192e75db6,9d4b192954cb89136d7622c38733b92b9e5131482c3284f878f851e4d06209a7,0a8606104c56153b25742aca2856e95ba6e41cad9fa2f65d86dae3aa55ae7491,experiments/gate_27_riemensperger_robustness/runs/burden_050/seed_003/rollout.npz
0.5,0.575,4,PASS,2.5853208610209686,1.5402164022849538,True,True,True,0.06424299698609989,42.40996710026995,a9e25a8aeed96cd8ad51934b383916bb484cbe16cf2210f13d06aed192e75db6,9d4b192954cb89136d7622c38733b92b9e5131482c3284f878f851e4d06209a7,404425690a90051118cdd453ceffea4743ad915555dad106ff67015ba5e31d70,experiments/gate_27_riemensperger_robustness/runs/burden_050/seed_004/rollout.npz
