burden,expected_gain,seed,source,source_gate,reused_existing_run,status,median_planar_speed_mm_s,distance_traveled_mm,delta_speed_vs_healthy,speed_ratio_vs_healthy,delta_distance_vs_healthy,finite_qc,timestamp_monotonic,contact_detected,checkpoint_tensor_sha256,rollout_sha256,source_artifact_reference
0.0,1.0,0,GATE26_REUSED,GATE21B_GATE26_FROZEN,True,PASS,2.223834600619149,1.407676499241302,0.0,1.0,0.0,True,True,True,5040ad65054d7eed4d6db97cbc4e41d002b1048d51adad8af42c6bea57c936a3,,experiments/gate_21b_riemensperger_healthy/metrics/healthy_per_seed_metrics.csv
0.0,1.0,1,GATE26_REUSED,GATE21B_GATE26_FROZEN,True,PASS,2.271621476378678,1.3758130625006904,0.0,1.0,0.0,True,True,True,5040ad65054d7eed4d6db97cbc4e41d002b1048d51adad8af42c6bea57c936a3,,experiments/gate_21b_riemensperger_healthy/metrics/healthy_per_seed_metrics.csv
0.0,1.0,2,GATE26_REUSED,GATE21B_GATE26_FROZEN,True,PASS,2.6389774969679616,1.6524886881762586,0.0,1.0,0.0,True,True,True,5040ad65054d7eed4d6db97cbc4e41d002b1048d51adad8af42c6bea57c936a3,,experiments/gate_21b_riemensperger_healthy/metrics/healthy_per_seed_metrics.csv
0.0,1.0,3,GATE26_REUSED,GATE21B_GATE26_FROZEN,True,PASS,2.6109203935790717,1.6540584548376787,0.0,1.0,0.0,True,True,True,5040ad65054d7eed4d6db97cbc4e41d002b1048d51adad8af42c6bea57c936a3,,experiments/gate_21b_riemensperger_healthy/metrics/healthy_per_seed_metrics.csv
0.0,1.0,4,GATE26_REUSED,GATE21B_GATE26_FROZEN,True,PASS,2.5853208610209686,1.5402164022849538,0.0,1.0,0.0,True,True,True,5040ad65054d7eed4d6db97cbc4e41d002b1048d51adad8af42c6bea57c936a3,,experiments/gate_21b_riemensperger_healthy/metrics/healthy_per_seed_metrics.csv
0.25,0.7875,0,GATE27_NEW,GATE27,False,PASS,2.223834600619149,1.407676499241302,0.0,1.0,0.0,True,True,True,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,d8d67764544af89211938d2d2d88b7576efac7f23d578fbc80f2949cb86f83ac,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_000/rollout.npz
0.25,0.7875,1,GATE27_NEW,GATE27,False,PASS,2.271621476378678,1.3758130625006904,0.0,1.0,0.0,True,True,True,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,f28797fb04371d8f1896734f0314693bb25076e401db701366fa015562463d3d,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_001/rollout.npz
0.25,0.7875,2,GATE27_NEW,GATE27,False,PASS,2.6389774969679616,1.6524886881762586,0.0,1.0,0.0,True,True,True,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,b7b0327ae1456c86a524b091d42479ca20b30917d8d4da253b54cd895f936a60,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_002/rollout.npz
0.25,0.7875,3,GATE27_NEW,GATE27,False,PASS,2.6109203935790717,1.6540584548376787,0.0,1.0,0.0,True,True,True,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,25ebde7ea7f4820a10ee2d28c715c35999674fb671b3ff46f9b46f91275590c3,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_003/rollout.npz
0.25,0.7875,4,GATE27_NEW,GATE27,False,PASS,2.5853208610209686,1.5402164022849538,0.0,1.0,0.0,True,True,True,3628419596a63bcc28a537fc648cba480b91cea1715730f52693bc35147c7e20,cbe59f9aedc71228c600b3f51c9a3211d0339ebf364ba8f466d591bd431bdd5f,experiments/gate_27_riemensperger_robustness/runs/burden_025/seed_004/rollout.npz
