endpoint_id,source_id,paper_id,source_url,source_role,genotype,driver,sex,age_days,assay_id,assay_description,duration_s,frame_rate_hz,metadata_source,metric_source,metric_canonical,unit,center_value,center_statistic,spread_type,spread_value,sample_size_text,sample_size_numeric,sample_unit,experimental_unit,figure_table,data_origin,digitization_status,assay_transfer,assay_transfer_basis,allocation,source_risk,reviewer_1,reviewer_2_recorded,review_date,approval_status,notes
riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,riemensperger_2011_dopamine_deficiency,https://pubmed.ncbi.nlm.nih.gov/21187381/,unit_test,DTHgFS±; ple,NOT_REPORTED,NOT_REPORTED,2-5,spontaneous_walking_in_an_open_arena,Spontaneous walking in an open arena,900,NOT_REPORTED,primary_source_PMC3021077_fulltext,walking_speed,walking_speed_mm_s,mm/s,7.8,median,Q25_Q75_Q10_Q90_extremes_reported_non_numeric,NOT_REPORTED,13 individual flies,13,fly,fly,Figure 2A,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_ONLY,pending,same behavioral concept but median/open-arena transfer requires explicit adjudication,unit_test,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,"Primary source reports median walking speed 7.8 mm/s for 5-day adult flies, 15-min open-arena recording, n=13 individual flies; plot reports quartiles/quantiles/extremes without numeric spread. Keep median separate from mean."
pokrzywa_alpha_speed_day1,pokrzywa_2017_alpha_syn_flytracker,pokrzywa_2017_alpha_syn_flytracker,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,calibration_candidate,w; +; UAS-Hsap/nSyb-Gal4,NOT_REPORTED,female,1,flytracker_locomotion_tracking_in_vials,FlyTracker locomotion tracking in vials,10,30,primary_source_PMC5581160_fulltext,walking_speed,walking_speed_mm_s,mm/s,5.6,mean,SE_not_numerically_reported,NOT_REPORTED,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,NOT_NUMERIC_UNAMBIGUOUS,independent_vial,independent_vial,Figure 2A,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_ONLY,pending,same velocity unit but vial-level design and transfer to FlyGym remain unadjudicated,calibration_candidate,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,"Primary source states mean velocity falls from 5.6 mm/s at the early time point; 10-s recording at 30 fps, 10 female flies per vial, two sequences averaged, 3-10 independent vials. Exact n and numeric SE for this row are not reported."
pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,pokrzywa_2017_alpha_syn_flytracker,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,calibration_candidate,w; +; UAS-Hsap/nSyb-Gal4,NOT_REPORTED,female,21,flytracker_locomotion_tracking_in_vials,FlyTracker locomotion tracking in vials,10,30,primary_source_PMC5581160_fulltext_plus_project_digitization,walking_speed,walking_speed_mm_s,mm/s,2.5,mean,SE_figure_digitized_approx,0.12,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,NOT_NUMERIC_UNAMBIGUOUS,independent_vial,independent_vial,Figure 2A,existing_repository_paper_review_audit,APPROXIMATE_FIGURE_DIGITIZATION_PENDING_SECOND_REVIEW,pending,"same velocity unit but approximate figure SE, non-unique vial count, and cross-assay transfer require review",calibration_candidate,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,"Mean 2.5 mm/s is reported in Results. Project digitization records an approximate SE of 0.12 mm/s from Figure 2A; it is not an exact table value. Paper reports 3-10 independent vials, so numeric n remains unavailable."
pokrzywa_control_speed_day1,pokrzywa_2017_alpha_syn_flytracker,pokrzywa_2017_alpha_syn_flytracker,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,calibration_candidate,w; +; UAS-Hsap/+,NOT_REPORTED,female,1,flytracker_locomotion_tracking_in_vials,FlyTracker locomotion tracking in vials,10,30,primary_source_PMC5581160_fulltext,walking_speed,walking_speed_mm_s,mm/s,6.0,mean,SE_not_numerically_reported,NOT_REPORTED,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,NOT_NUMERIC_UNAMBIGUOUS,independent_vial,independent_vial,Figure 2A,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_ONLY,pending,control for same FlyTracker study; not a FlyGym baseline equivalence claim,calibration_candidate,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,Primary source reports the control mean velocity at the early time point as 6 mm/s. Exact numeric SE and unique independent-vial count are not reported.
pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,pokrzywa_2017_alpha_syn_flytracker,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,calibration_candidate,w; +; UAS-Hsap/+,NOT_REPORTED,female,21,flytracker_locomotion_tracking_in_vials,FlyTracker locomotion tracking in vials,10,30,primary_source_PMC5581160_fulltext_plus_project_digitization,walking_speed,walking_speed_mm_s,mm/s,5.0,mean,SE_figure_digitized_approx,0.14,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,NOT_NUMERIC_UNAMBIGUOUS,independent_vial,independent_vial,Figure 2A,existing_repository_paper_review_audit,APPROXIMATE_FIGURE_DIGITIZATION_PENDING_SECOND_REVIEW,pending,control for same FlyTracker study; no direct FlyGym baseline equivalence,calibration_candidate,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,Primary source reports the control mean velocity at day 21 as 5 mm/s. Project digitization records an approximate SE of 0.14 mm/s from Figure 2A; unique vial count remains unavailable.
dumitrescu_parkin_activity_day1,dumitrescu_2023_parkin_rnai,dumitrescu_2023_parkin_rnai,NOT_RECORDED,regional_dopamine_constraint,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,NOT_REPORTED,male,1,drosophila_activity_monitor_infrared_beam_break_counts,Drosophila Activity Monitor infrared beam-break counts,604800,NOT_REPORTED,primary_source_PMC9897283_Figure1_caption,locomotor_activity_reduction,DAM_activity_relative,percent_vs_age_matched_control,NOT_REPORTED,relative_reduction_percent,SEM_not_numerically_reported,NOT_REPORTED,29 flies,29,fly,fly,Figure 1,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_DESIGN_ONLY,not_comparable,7-day DAM average daily beam-break counts are not planar walking speed,context_only,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,CONTEXT_OR_VALIDATION_ONLY,"Primary caption reports average daily DAM counts per individual male fly during a 7-day monitoring period, n=29 for parkin-RNAi at 1 dpe; numeric center of the relative reduction is not text-reported. Do not convert DAM counts to speed."
dumitrescu_parkin_activity_day45,dumitrescu_2023_parkin_rnai,dumitrescu_2023_parkin_rnai,NOT_RECORDED,regional_dopamine_constraint,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,NOT_REPORTED,male,45,drosophila_activity_monitor_infrared_beam_break_counts,Drosophila Activity Monitor infrared beam-break counts,604800,NOT_REPORTED,primary_source_PMC9897283_Figure1_caption,locomotor_activity_reduction,DAM_activity_relative,percent_vs_age_matched_control,NOT_REPORTED,relative_reduction_percent,SEM_not_numerically_reported,NOT_REPORTED,52 flies,52,fly,fly,Figure 1,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_DESIGN_ONLY,not_comparable,7-day DAM average daily beam-break counts are not planar walking speed,context_only,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,CONTEXT_OR_VALIDATION_ONLY,"Primary caption reports average daily DAM counts per individual male fly during a 7-day monitoring period, n=52 for parkin-RNAi at 45 dpe; numeric center of the relative reduction is not text-reported. Do not convert DAM counts to speed."
pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,pozo_2022_pink1_serotonin,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,cross_disease_context,Pink1B9,NOT_REPORTED,male,28,open_field_locomotor_tracking,Open-field locomotor tracking,180,NOT_REPORTED,primary_source_PMC9105628_fulltext_Figure3B,distance_traveled,distance_traveled_mm,mm,62.091,paper_reported_center,IQR_with_min_max_ranges_reported,61.288,21 flies,21,fly,fly,Figure 3B,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_AND_SPREAD,pending,open-field distance is a candidate distance holdout; transfer to FlyGym distance still needs explicit adjudication,context_only,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,"Primary source reports 28-day-old male Pink1B9 open-field distance 62.091 +/- 61.288 mm, with IQR and maximum/minimum ranges; n=21. Keep as distance/path-length only and do not convert to speed."
pozo_control_distance_day28,pozo_2022_pink1_serotonin,pozo_2022_pink1_serotonin,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,cross_disease_context,w1118,NOT_REPORTED,male,28,open_field_locomotor_tracking,Open-field locomotor tracking,180,NOT_REPORTED,primary_source_PMC9105628_fulltext_Figure3B,distance_traveled,distance_traveled_mm,mm,323.326,paper_reported_center,IQR_with_min_max_ranges_reported,236.209,20 flies,20,fly,fly,Figure 3B,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_AND_SPREAD,pending,matched open-field control; no cross-assay equivalence inferred,context_only,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,PENDING_HUMAN_REVIEW,"Primary source reports 28-day-old male w1118 control open-field distance 323.326 +/- 236.209 mm, with IQR and maximum/minimum ranges; n=20. Kept as context for a distance endpoint only."
pozo_pink1_activity_time_day28,pozo_2022_pink1_serotonin,pozo_2022_pink1_serotonin,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,cross_disease_context,Pink1B9,NOT_REPORTED,male,28,open_field_locomotor_tracking,Open-field locomotor tracking,180,NOT_REPORTED,primary_source_PMC9105628_fulltext_Figure3C,activity_time,activity_time_s,s,11.865,paper_reported_center,IQR_with_min_max_ranges_reported,12.914,21 flies,21,fly,fly,Figure 3C,existing_repository_paper_review_audit,SOURCE_TEXT_VERIFIED_CENTER_AND_SPREAD,not_comparable,activity time is not walking speed and no approved pause-fraction adapter exists,context_only,SEE_SOURCE_REGISTRY,PENDING_RECONFIRMATION,PENDING_RECONFIRMATION,NOT_RECORDED_FOR_UPDATED_METADATA,CONTEXT_OR_VALIDATION_ONLY,"Primary source reports 28-day-old male Pink1B9 activity time 11.865 +/- 12.914 s, with IQR and maximum/minimum ranges; n=21. Keep separate from distance and speed."
