endpoint_id,paper_id,citation_key,doi,pmid,figure_table_page,condition,genotype,driver,sex,age,temperature,intervention,intervention_dose,intervention_window,assay,duration,metric,unit,center_statistic,center_value,spread_statistic,spread_value,sample_size,experimental_unit,digitization_method,digitization_uncertainty,source_tier,source_risk_flag,review_status,reviewer_1,reviewer_2,source_sha256,generation2_role,notes
riem11_da_speed,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,dopamine_deficient,TH-related dopamine deficiency,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,dopamine deficiency,NOT_REPORTED,NOT_REPORTED,open_arena,15 min,median_planar_speed_mm_s,mm/s,median,7.8,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; spread not reported.
riem11_rescue_speed,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,control_or_rescue,genetic control or rescue,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,control_or_rescue,NOT_REPORTED,NOT_REPORTED,open_arena,15 min,median_planar_speed_mm_s,mm/s,median,10.8,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; spread not reported.
riem11_wt_speed,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,wild_type,wild type,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,none,NOT_APPLICABLE,NOT_APPLICABLE,open_arena,15 min,median_planar_speed_mm_s,mm/s,median,15.0,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; spread not reported.
riem11_da_distance,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,dopamine_deficient,TH-related dopamine deficiency,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,dopamine deficiency,NOT_REPORTED,NOT_REPORTED,open_arena,15 min,distance_traveled_mm,cm,study_declared,193,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; convert units only after endpoint review.
riem11_rescue_distance,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,control_or_rescue,genetic control or rescue,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,control_or_rescue,NOT_REPORTED,NOT_REPORTED,open_arena,15 min,distance_traveled_mm,cm,study_declared,425,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; convert units only after endpoint review.
riem11_wt_distance,riemensperger_2011_dopamine_deficiency,riemensperger_2011,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,wild_type,wild type,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,none,NOT_APPLICABLE,NOT_APPLICABLE,open_arena,15 min,distance_traveled_mm,cm,study_declared,474,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,individual_fly,not_digitized,NOT_REPORTED,A,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,GEN2_DOPAMINE_FUNCTIONAL_DEFICIENCY_REFERENCE,Paper value retained; convert units only after endpoint review.
riem13_alpha_syn,riemensperger_2013_alpha_syn_dopamine,riemensperger_2013,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,alpha_synuclein,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,B,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,FUTURE_ALPHA_SYN_CIRCUIT_GENERALIZATION_CANDIDATE,Do not use as target before source review.
pokr17_alpha_syn,pokrzywa_2017_alpha_syn_flytracker,pokrzywa_2017,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,alpha_synuclein,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,vial_startle,10 s,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,independent_vial,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,B,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,FUTURE_ALPHA_SYN_LONGITUDINAL_CALIBRATION_CANDIDATE,Group/vial unit must remain explicit.
hay04_alpha_syn,haywood_2004_alpha_syn_parkin,haywood_2004,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,alpha_synuclein_parkin,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,B,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,FUTURE_INTERVENTION_SPECIFICITY_TEST_CANDIDATE,Source review required.
agg19_gait,aggarwal_2019_drosophila_gait,aggarwal_2019,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,locomotor_gait,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,rotating_vertical,approximately_5 min,gait_concurrency,assay_specific,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,declared_by_paper,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,B,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,ASSAY_AND_GAIT_CONTRACT_SOURCE,Architecture/assay source; not speed target.
dim23_parkin,dimitrescu_2023_parkin_dopamine_release,dimitrescu_2023,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,parkin_dopamine_release,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,B,NOT_REPORTED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,AUXILIARY_NEUROMODULATION_CONSTRAINT,Neuromodulation constraint; not locomotion target.
lies26_prior,liessem_2026_circuit_prior,liessem_2026,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,functional_circuit_prior,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,E,PREPRINT_OR_STATUS_REVIEW_REQUIRED,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,FUNCTIONAL_CIRCUIT_PRIOR,Context/prior only.
pugliese_architecture,pugliese_2025_neuromechfly,pugliese_2025,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REGISTERED_EXTERNALLY,SOURCE_REVIEW_REQUIRED,architecture,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,SOURCE_REVIEW_REQUIRED,NOT_REPORTED,NOT_REPORTED,architecture_source,NOT_REPORTED,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,E,PREPRINT_FLAG,PENDING_SOURCE_REVIEW,,,SOURCE_REGISTERED_EXTERNALLY,IMPLEMENTATION_ARCHITECTURE_ONLY,Not a disease outcome target.
