paper_id,title,year,gene_model,assay,metric,value,unit,uncertainty_type,uncertainty,sample_size,sample_unit,age_days,sex,control_available,doi_pmid,source_url,pdf_path,supplement_path,screening_decision,reason,possible_allocation,reviewer,review_date,notes
pokrzywa_2017_alpha_syn_flytracker,"Age-dependent decline of locomotor activity in a Drosophila model of alpha-synucleinopathy",2017,human_alpha_synuclein,"FlyTracker locomotion tracking in vials",mean_planar_speed_mm_s,2.5,mm/s,SE,,"3-10 independent vials",independent_vial,21,female,yes,10.1371/journal.pone.0184117,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117,not_downloaded,public_S6_supplementary_pdf,PENDING_HUMAN_SIGNOFF,"Figure 2A reports mean velocity and plus/minus SE; S6 contains p-values but no numeric SE for the day-21 bar. Exact independent-vial count at day 21 is not available.",calibration_candidate,Tuan Le,2026-08-30,"Do not infer SE from pixels or coerce 3-10 vials into fly count. Public S6 supplementary PDF reviewed."
pokrzywa_2017_alpha_syn_control,"Age-dependent decline of locomotor activity in a Drosophila model of alpha-synucleinopathy",2017,control,"FlyTracker locomotion tracking in vials",mean_planar_speed_mm_s,5.0,mm/s,SE,,"3-10 independent vials",independent_vial,21,female,yes,10.1371/journal.pone.0184117,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117,not_downloaded,public_S6_supplementary_pdf,PENDING_HUMAN_SIGNOFF,"Paired control value described in the Results; numeric SE and exact day-21 unit of analysis remain unavailable.",calibration_support,Tuan Le,2026-08-30,"Control row is retained for within-paper context and is not an approved target."
pozo_2022_pink1_distance,"Serotonergic modulation of Pink1-related locomotor phenotypes",2022,pink1,"Open-field locomotor tracking",distance_traveled_mm,62.091,mm,IQR_with_min_max_ranges_reported,61.288,21,fly,28,not_reported_in_extracted_section,yes,10.3390/cells11091544; PMID:35563850,https://www.mdpi.com/2073-4409/11/9/1544,not_downloaded,not_reported,SURVEYED_PENDING_TRANSFER,"Figure 3B reports a center with interquartile range and maximum/minimum ranges. Distance must not be converted to speed.",holdout_candidate,Tuan Le,2026-08-30,"Potential holdout only after explicit distance-endpoint and assay-transfer signoff."
pozo_2022_pink1_control_distance,"Serotonergic modulation of Pink1-related locomotor phenotypes",2022,control_for_pink1,"Open-field locomotor tracking",distance_traveled_mm,323.326,mm,IQR_with_min_max_ranges_reported,236.209,20,fly,28,not_reported_in_extracted_section,yes,10.3390/cells11091544; PMID:35563850,https://www.mdpi.com/2073-4409/11/9/1544,not_downloaded,not_reported,SURVEYED_CONTEXT_ONLY,"Control cohort for the Pink1B9 distance comparison; retained to define the paired contrast.",holdout_support,Tuan Le,2026-08-30,"Not a standalone target."
riemensperger_2011_dopamine_deficiency,"Behavioral consequences of dopamine deficiency in the Drosophila central nervous system",2011,dopamine_deficiency,"Spontaneous walking in an open arena",median_planar_speed_mm_s,7.8,mm/s,NOT_REPORTED,,13,fly,2-5,female,yes,10.1073/pnas.1010930108; PMID:21187381,https://pmc.ncbi.nlm.nih.gov/articles/PMC3048124/,not_downloaded,not_reported,PENDING_HUMAN_SIGNOFF,"The paper reports a median speed but no compatible numeric IQR or range in the reviewed material. Median cannot be relabeled as mean.",none,Tuan Le,2026-08-30,"Dopamine deficiency is class-level context, not a gene-specific root-ID mapping."
hwang_2013_dj1_climbing,"Drosophila DJ-1 beta and DLP1 regulate mitochondrial dynamics and locomotion",2013,dj1,"Negative geotaxis climbing assay",climbing_score,,percent,SE,,12,fly,5,male,yes,10.1371/journal.pgen.1003412; PMID:23593018,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003412,not_downloaded,not_reported,VALIDATION_ONLY,"Figure 5E reports mean plus/minus s.e. and n at least 12, but the exact bar center is not available as a machine-readable value and climbing is not an implemented FlyGym endpoint.",none,Tuan Le,2026-08-30,"Do not convert climbing score to walking speed."
godena_2014_lrrk2_r1441c_climbing,"Progranulin-dependent secretion of lysosomal enzymes regulates LRRK2",2014,lrrk2,"Climbing and flight assay",climbing_score,,study_specific_score,SEM,,43,animal,6-7,not_reported,yes,10.1038/ncomms6245,https://www.nature.com/articles/ncomms6245,not_downloaded,public_supplementary_reference,VALIDATION_ONLY,"LRRK2-R1441C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope.",none,Tuan Le,2026-08-30,"Retain as validation evidence only."
godena_2014_lrrk2_y1699c_climbing,"Progranulin-dependent secretion of lysosomal enzymes regulates LRRK2",2014,lrrk2,"Climbing and flight assay",climbing_score,,study_specific_score,SEM,,59,animal,6-7,not_reported,yes,10.1038/ncomms6245,https://www.nature.com/articles/ncomms6245,not_downloaded,public_supplementary_reference,VALIDATION_ONLY,"LRRK2-Y1699C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope.",none,Tuan Le,2026-08-30,"Retain as validation evidence only."
dumitrescu_2023_parkin_activity_day1,"Parkin RNAi in dopaminergic neurons affects activity and sleep",2023,parkin,"Drosophila Activity Monitor infrared beam-break",DAM_activity,30,percent_reduction_vs_control,NOT_REPORTED,,29,fly,1,male,yes,10.1021/acschemneuro.2c00277; PMID:36576890,https://pubmed.ncbi.nlm.nih.gov/36576890/,not_downloaded,public_supplementary_reference,NOT_COMPARABLE,"DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model.",none,Tuan Le,2026-08-30,"Retain as age-dependent activity context."
dumitrescu_2023_parkin_activity_day45,"Parkin RNAi in dopaminergic neurons affects activity and sleep",2023,parkin,"Drosophila Activity Monitor infrared beam-break",DAM_activity,85,percent_reduction_vs_control,NOT_REPORTED,,52,fly,45,male,yes,10.1021/acschemneuro.2c00277; PMID:36576890,https://pubmed.ncbi.nlm.nih.gov/36576890/,not_downloaded,public_supplementary_reference,NOT_COMPARABLE,"DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model.",none,Tuan Le,2026-08-30,"Retain as age-dependent activity context."
chen_2014_asyn_a30p_day15,"Walking deficits and centrophobism in an alpha-synuclein fly model of Parkinson's disease",2014,human_alpha_synuclein,"Horizontal open-field walking tracked at 17 fps",mean_walking_velocity_cm_s,,cm/s,CI95,,23,fly,15,male,yes,10.1111/gbb.12172; PMID:25113870,https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/,not_downloaded,not_reported,PENDING_DIGITIZATION,"Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed.",calibration_candidate,Tuan Le,2026-08-30,"Potentially strong adult walking candidate. Do not enter a numeric value or convert cm/s until documented digitization and unit-transfer review."
chen_2014_asyn_a30p_day30,"Walking deficits and centrophobism in an alpha-synuclein fly model of Parkinson's disease",2014,human_alpha_synuclein,"Horizontal open-field walking tracked at 17 fps",mean_walking_velocity_cm_s,,cm/s,CI95,,20,fly,30,male,yes,10.1111/gbb.12172; PMID:25113870,https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/,not_downloaded,not_reported,PENDING_DIGITIZATION,"Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed.",calibration_candidate,Tuan Le,2026-08-30,"Old A30P phenotype is relevant to walking, but no numeric target is entered without reviewed digitization."
chen_2014_control_day15,"Walking deficits and centrophobism in an alpha-synuclein fly model of Parkinson's disease",2014,control,"Horizontal open-field walking tracked at 17 fps",mean_walking_velocity_cm_s,,cm/s,CI95,,23,fly,15,male,yes,10.1111/gbb.12172; PMID:25113870,https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/,not_downloaded,not_reported,SURVEYED_CONTEXT_ONLY,"Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization.",calibration_support,Tuan Le,2026-08-30,"Context only."
chen_2014_control_day30,"Walking deficits and centrophobism in an alpha-synuclein fly model of Parkinson's disease",2014,control,"Horizontal open-field walking tracked at 17 fps",mean_walking_velocity_cm_s,,cm/s,CI95,,20,fly,30,male,yes,10.1111/gbb.12172; PMID:25113870,https://pubmed.ncbi.nlm.nih.gov/25113870/,not_downloaded,not_reported,SURVEYED_CONTEXT_ONLY,"Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization.",calibration_support,Tuan Le,2026-08-30,"Context only."
aggarwal_2019_pink1rv_male,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,pink1,"Automated vertical climbing assay",climbing_speed_blu_s,5.16971156,BLU/s,SEM,0.488579077,18,fly,not_reported,male,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint.",none,Tuan Le,2026-08-30,"Do not convert BLU/s to mm/s."
aggarwal_2019_pink1rv_female,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,pink1,"Automated vertical climbing assay",climbing_speed_blu_s,3.830586759,BLU/s,SEM,0.513135727,22,fly,not_reported,female,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint.",none,Tuan Le,2026-08-30,"Do not convert BLU/s to mm/s."
aggarwal_2019_park25_lrrkex1_male,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,parkin_lrrk2,"Automated vertical climbing assay",climbing_speed_blu_s,3.527946867,BLU/s,SEM,0.526675684,13,fly,not_reported,male,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"Compound genotype is not a single-gene calibration target."
aggarwal_2019_park25_lrrkex1_female,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,parkin_lrrk2,"Automated vertical climbing assay",climbing_speed_blu_s,2.563034428,BLU/s,SEM,0.239821259,19,fly,not_reported,female,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"Compound genotype is not a single-gene calibration target."
aggarwal_2019_park25_w1118_male,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,parkin,"Automated vertical climbing assay",climbing_speed_blu_s,5.776343262,BLU/s,SEM,0.571443355,16,fly,not_reported,male,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"This is a genotype/control context row, not an approved target."
aggarwal_2019_park25_w1118_female,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,parkin,"Automated vertical climbing assay",climbing_speed_blu_s,4.87022503,BLU/s,SEM,0.511864368,16,fly,not_reported,female,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"This is a genotype/control context row, not an approved target."
aggarwal_2019_lrrkex1_w1118_male,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,lrrk2,"Automated vertical climbing assay",climbing_speed_blu_s,3.985477636,BLU/s,SEM,0.429876426,16,fly,not_reported,male,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"Do not infer a planar walking endpoint."
aggarwal_2019_lrrkex1_w1118_female,"A locomotor assay reveals deficits in heterozygous Parkinson's disease model and proprioceptive mutants in adult Drosophila",2019,lrrk2,"Automated vertical climbing assay",climbing_speed_blu_s,4.786291565,BLU/s,SEM,1.882396102,18,fly,not_reported,female,yes,10.1073/pnas.1807456116; PMID:31748267,https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/,not_downloaded,public_supplementary_xlsx_sd02,VALIDATION_ONLY,"Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.",none,Tuan Le,2026-08-30,"Do not infer a planar walking endpoint."
kajtor_2025_parkin_ddc,"Altered reactivity to threatening stimuli in Drosophila models of Parkinson's disease",2025,parkin,"Single-animal threat assay with passing-shadow stimulus",pre_stimulus_walking_speed_mm_s,,mm/s,NOT_REPORTED,,78,fly,14,not_reported,yes,10.7554/eLife.90905.3; PMID:40728873,https://pmc.ncbi.nlm.nih.gov/articles/PMC12306971/,not_downloaded,figshare_23659626_raw_data_not_downloaded,PENDING_RAW_DATA_EXTRACTION,"The article reports a 0.2-second pre-threat speed window and cohort counts, but exact numeric distribution summaries require the linked large raw-data archive.",validation_candidate,Tuan Le,2026-08-30,"Do not download multi-gigabyte archive automatically; keep source and data DOI for human data-management decision."
kajtor_2025_alpha_syn_ddc,"Altered reactivity to threatening stimuli in Drosophila models of Parkinson's disease",2025,alpha_synuclein,"Single-animal threat assay with passing-shadow stimulus",pre_stimulus_walking_speed_mm_s,,mm/s,NOT_REPORTED,,69,fly,14,not_reported,yes,10.7554/eLife.90905.3; PMID:40728873,https://pmc.ncbi.nlm.nih.gov/articles/PMC12306971/,not_downloaded,figshare_23659626_raw_data_not_downloaded,PENDING_RAW_DATA_EXTRACTION,"The article reports a 0.2-second pre-threat speed window and cohort counts, but exact numeric distribution summaries require the linked large raw-data archive.",validation_candidate,Tuan Le,2026-08-30,"Raw data link is public but not imported because the archive is multi-gigabyte."
kajtor_2025_parkin_np6510,"Altered reactivity to threatening stimuli in Drosophila models of Parkinson's disease",2025,parkin,"Single-animal threat assay with passing-shadow stimulus",pre_stimulus_walking_speed_mm_s,,mm/s,NOT_REPORTED,,170,fly,14,not_reported,yes,10.7554/eLife.90905.3; PMID:40728873,https://elifesciences.org/articles/90905,not_downloaded,figshare_23659626_raw_data_not_downloaded,PENDING_RAW_DATA_EXTRACTION,"The paper reports a percentage speed decrease for this cohort, but not a directly reusable mean plus uncertainty in the reviewed article text.",validation_candidate,Tuan Le,2026-08-30,"Percentage effects do not replace a numeric target with uncertainty."
kajtor_2025_alpha_syn_np6510,"Altered reactivity to threatening stimuli in Drosophila models of Parkinson's disease",2025,alpha_synuclein,"Single-animal threat assay with passing-shadow stimulus",pre_stimulus_walking_speed_mm_s,,mm/s,NOT_REPORTED,,181,fly,14,not_reported,yes,10.7554/eLife.90905.3; PMID:40728873,https://elifesciences.org/articles/90905,not_downloaded,figshare_23659626_raw_data_not_downloaded,PENDING_RAW_DATA_EXTRACTION,"The paper reports threat-response behavior and cohort counts, but the reviewed article text does not provide a reusable numeric speed uncertainty.",validation_candidate,Tuan Le,2026-08-30,"Useful validation context for freezing/reactivity, not current calibration."
bridi_2021_alpha_syn_day3,"Presynaptic alpha-synuclein disrupts neurotransmission and causes locomotor phenotypes",2021,alpha_synuclein,"Drosophila activity and active-speed tracking",active_speed_mm_s,,mm/s,NOT_REPORTED,,not_reported,fly,3,not_reported,yes,PMC8111063,https://pmc.ncbi.nlm.nih.gov/articles/PMC8111063/,not_downloaded,not_reported,PENDING_SUPPLEMENTARY_REVIEW,"The paper reports active speed at day 3, but the exact numeric value and uncertainty were not available in the reviewed text.",validation_candidate,Tuan Le,2026-08-30,"Needs figure/supplementary extraction before any target decision."
bridi_2021_alpha_syn_day20,"Presynaptic alpha-synuclein disrupts neurotransmission and causes locomotor phenotypes",2021,alpha_synuclein,"Drosophila activity and active-speed tracking",active_speed_mm_s,,mm/s,NOT_REPORTED,,not_reported,fly,20,not_reported,yes,PMC8111063,https://pmc.ncbi.nlm.nih.gov/articles/PMC8111063/,not_downloaded,not_reported,PENDING_SUPPLEMENTARY_REVIEW,"The paper reports active speed at day 20, but the exact numeric value and uncertainty were not available in the reviewed text.",validation_candidate,Tuan Le,2026-08-30,"Needs figure/supplementary extraction before any target decision."
cackett_2017_pink1_parkin_activity,"Drosophila Pink1 and parkin loss-of-function affect activity",2017,pink1_parkin,"Drosophila Activity Monitor",DAM_activity,,activity_units,SEM,,7,experiment,1-3,male,yes,PMC5469398,https://pmc.ncbi.nlm.nih.gov/articles/PMC5469398/,not_downloaded,not_reported,VALIDATION_ONLY,"DAM activity is reported with mean/SEM and experiment count, but is not the current FlyGym walking-speed or distance endpoint.",none,Tuan Le,2026-08-30,"Retain as activity validation evidence only."
larval_asyn_2017_a53t_control,"Alpha-synuclein electrical activity and larval locomotion",2017,alpha_synuclein,"Larval crawling assay",crawling_speed_mm_min,43.3,mm/min,SEM,2.64,6,larva,larval,not_reported,yes,PMC5403912,https://pmc.ncbi.nlm.nih.gov/articles/PMC5403912/,not_downloaded,not_reported,EXCLUDED_OUT_OF_SCOPE,"Numeric value is from larval crawling and is not adult FlyGym locomotion; it is retained for scope audit only.",none,Tuan Le,2026-08-30,"Do not mix larval crawling with adult walking calibration."
larval_asyn_2017_a53t_drug_100,"Alpha-synuclein electrical activity and larval locomotion",2017,alpha_synuclein,"Larval crawling assay with chemical treatment",crawling_speed_mm_min,83.4,mm/min,SEM,4.13,18,larva,larval,not_reported,yes,PMC7492844,https://pmc.ncbi.nlm.nih.gov/articles/PMC7492844/,not_downloaded,not_reported,EXCLUDED_OUT_OF_SCOPE,"Drug-treatment larval speed is not an untreated adult disease baseline and is outside the current calibration scope.",none,Tuan Le,2026-08-30,"Drug context is not a target for this project."
larval_asyn_2017_a53t_drug_1000,"Alpha-synuclein electrical activity and larval locomotion",2017,alpha_synuclein,"Larval crawling assay with chemical treatment",crawling_speed_mm_min,78.8,mm/min,SEM,6.73,6,larva,larval,not_reported,yes,PMC7492844,https://pmc.ncbi.nlm.nih.gov/articles/PMC7492844/,not_downloaded,not_reported,EXCLUDED_OUT_OF_SCOPE,"Drug-treatment larval speed is not an untreated adult disease baseline and is outside the current calibration scope.",none,Tuan Le,2026-08-30,"Drug context is not a target for this project."
gba_asyn_2018_climbing,"GBA deficiency enhances alpha-synuclein toxicity in Drosophila",2018,alpha_synuclein_gba,"Negative geotaxis and activity assays",climbing_score,,percent,SEM,,not_reported,fly,adult_not_reported,not_reported,yes,PMC5820349,https://pmc.ncbi.nlm.nih.gov/articles/PMC5820349/,not_downloaded,not_reported,VALIDATION_ONLY,"The study provides climbing/activity phenotype context but no currently transferable adult planar-speed target in the reviewed material.",none,Tuan Le,2026-08-30,"No conversion to walking speed."
parkin_2012_larval_velocity,"Parkin-induced defects in Drosophila movement",2012,parkin,"Larval locomotion assay",larval_velocity,,relative_to_control,NOT_REPORTED,,not_reported,larva,larval,not_reported,yes,PMC3313793,https://pmc.ncbi.nlm.nih.gov/articles/PMC3313793/,not_downloaded,not_reported,EXCLUDED_OUT_OF_SCOPE,"The source reports a relative locomotor defect without a reusable mean and uncertainty; the assay is larval rather than adult FlyGym walking.",none,Tuan Le,2026-08-30,"Context only; no numeric target extracted."
asyn_2012_climbing_assay,"A novel sensitive assay for behavioral defects in Parkinson's disease model Drosophila",2012,alpha_synuclein,"Negative geotaxis climbing assay",climbing_score,,percent,NOT_REPORTED,,not_reported,fly,adult_not_reported,not_reported,yes,PMC3410351,https://pmc.ncbi.nlm.nih.gov/articles/PMC3410351/,not_downloaded,not_reported,VALIDATION_ONLY,"Climbing assay is relevant to motor phenotype but no approved transfer to current FlyGym planar locomotion is available.",none,Tuan Le,2026-08-30,"Do not convert climbing to speed."
