record_id,paper_id,genotype,age_days,sex,assay,metric,unit,sample_size,figure_table,uncertainty_type,uncertainty,supplementary_status,flygym_transfer_status,reviewer_2,review_date,decision,analysis_vi,notes_vi
riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,DTHgFS±; ple,5,female,Spontaneous walking in an open arena,walking_speed,mm/s,13 flies,Figure 2A,median plus quartiles and quantiles,,NOT_IDENTIFIED_IN_INTAKE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Đo walking tự phát trong arena mở; median của nhóm thiếu dopamine là 7.8 mm/s; rescue là 10.8 mm/s; WT là 15 mm/s.,Median không phải mean; hình có quartiles quantiles và extreme values nhưng chưa có uncertainty số học riêng cho median mục tiêu.
pokrzywa_alpha_speed_day1,pokrzywa_2017_alpha_syn_flytracker,w; +; UAS-Hsap/nSyb-Gal4,1,female,FlyTracker locomotion tracking in vials,walking_speed,mm/s,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,Figure 2A,SE,,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,FlyTracker đo ruồi cái mới nở biểu hiện alpha-synuclein; mean velocity ngày 1 là 5.6 mm/s.,Figure 2 ghi ±SE nhưng SE số học chưa được báo; không đo chiều cao cột.
pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,w; +; UAS-Hsap/nSyb-Gal4,21,female,FlyTracker locomotion tracking in vials,walking_speed,mm/s,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,Figure 2A,SE,,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Mean velocity alpha-synuclein giảm còn 2.5 mm/s trong ba tuần đầu; control khoảng 5.0 mm/s ở ngày 21.,SE số học chưa có trong văn bản hoặc bảng đã kiểm tra; chỉ là candidate evidence.
pokrzywa_control_speed_day1,pokrzywa_2017_alpha_syn_flytracker,w; +; UAS-Hsap/+,1,female,FlyTracker locomotion tracking in vials,walking_speed,mm/s,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,Figure 2A,SE,,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Đối chứng cùng tuổi có mean velocity 6.0 mm/s; dùng để giữ so sánh nội bộ với alpha-synuclein.,SE số học chưa được báo; chưa coi là FlyGym baseline tương đương.
pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,w; +; UAS-Hsap/+,21,female,FlyTracker locomotion tracking in vials,walking_speed,mm/s,3-10 independent vials; 10 flies/vial; 2 sequences/vial averaged,Figure 2A,SE,,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Đối chứng ngày 21 có mean velocity khoảng 5.0 mm/s; giảm ít hơn nhóm alpha-synuclein.,SE số học chưa được báo; cần xác nhận assay transfer.
dumitrescu_parkin_activity_day1,dumitrescu_2023_parkin_rnai,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,1,male,Drosophila Activity Monitor infrared beam-break counts,locomotor_activity_reduction,percent_vs_age_matched_control,29 flies,Figure 1,NOT_REPORTED_FOR_RELATIVE_DIFFERENCE,,REFERENCED_NOT_RETAINED,NOT_COMPARABLE_DAM_ACTIVITY,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,DAM ghi số lần cắt tia hồng ngoại; hoạt động nhóm parkin-RNAi một ngày tuổi giảm khoảng 30 phần trăm so với control.,Không đổi DAM count thành mm/s; PDF bị challenge tải xuống nên dùng bản toàn văn PMC/BioC.
dumitrescu_parkin_activity_day45,dumitrescu_2023_parkin_rnai,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,45,male,Drosophila Activity Monitor infrared beam-break counts,locomotor_activity_reduction,percent_vs_age_matched_control,52 flies,Figure 1,NOT_REPORTED_FOR_RELATIVE_DIFFERENCE,,REFERENCED_NOT_RETAINED,NOT_COMPARABLE_DAM_ACTIVITY,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Hoạt động nhóm parkin-RNAi khoảng 45 ngày giảm khoảng 85 phần trăm; paper theo dõi DAM trong 7 ngày.,Không có variance cho chênh lệch tương đối; chỉ tham khảo age-dependent activity.
pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,Pink1B9,28,NOT_REPORTED_IN_EXTRACTED_SECTION,Open-field locomotor tracking,distance_traveled,mm,21 flies,Figure 3B,reported plus/minus statistic unresolved,61.288,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Open-field 3 phút; Pink1B9 có distance 62.091 mm so với control 323.326 mm ở ngày 28.,Caption ghi IQR cùng max min; không gán spread 61.288 là SD.
pozo_control_distance_day28,pozo_2022_pink1_serotonin,w1118,28,NOT_REPORTED_IN_EXTRACTED_SECTION,Open-field locomotor tracking,distance_traveled,mm,20 flies,Figure 3B,reported plus/minus statistic unresolved,236.209,VERIFIED_SUPPLEMENTARY_PACKAGE,PENDING_ASSAY_TRANSFER,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Mốc control w1118 có distance 323.326 mm trong cùng assay và thời lượng ghi hình.,Spread 236.209 chưa được phân loại thống kê; cần xác nhận trước khi dùng làm target.
pozo_pink1_activity_time_day28,pozo_2022_pink1_serotonin,Pink1B9,28,NOT_REPORTED_IN_EXTRACTED_SECTION,Open-field locomotor tracking,activity_time,s,21 flies,Figure 3C,reported plus/minus statistic unresolved,12.914,VERIFIED_SUPPLEMENTARY_PACKAGE,NOT_COMPARABLE_ACTIVITY_TIME,NOT_ASSIGNED,2026-08-28,PENDING_HUMAN_SIGNOFF,Pink1B9 có activity time 11.865 s so với control 51.894 s; metric bổ sung cho distance.,Không phải walking speed; spread 12.914 được giữ nguyên nhưng chưa phân loại SD SE hay IQR.
