source_id,title,authors,year,journal,doi,pmid,source_url,local_file,source_type,project_role,license_status,selection_status,notes_vi
riemensperger_2011_dopamine_deficiency,Behavioral consequences of dopamine deficiency in the Drosophila central nervous system,Riemensperger et al.,2011,PNAS,10.1073/pnas.1010930108,21187381,https://pubmed.ncbi.nlm.nih.gov/21187381/,temporary/paper_pdf/curated_sources/riemensperger_2011_dopamine_deficiency.pdf,primary_research,disease locomotion evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"DA deficiency; reduced activity and age-related locomotor deficit; keep median endpoints separate from mean speed."
riemensperger_2013_alpha_synuclein_progression,A Single Dopamine Pathway Underlies Progressive Locomotor Deficits in a Drosophila Model of Parkinson Disease,Riemensperger et al.,2013,Cell Reports,10.1016/j.celrep.2013.10.032,,https://doi.org/10.1016/j.celrep.2013.10.032,temporary/paper_pdf/curated_sources/riemensperger_2013_alpha_synuclein_progression.pdf,primary_research,alpha-synuclein locomotion evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"Progressive locomotor phenotype and dopaminergic pathway; inspect exact figure statistics before any target entry."
pokrzywa_2017_alpha_syn_flytracker,Effects of small-molecule amyloid modulators on a Drosophila model of Parkinsons disease,Pokrzywa et al.,2017,PLOS ONE,10.1371/journal.pone.0184117,28863169,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,temporary/paper_pdf/pokrzywa_2017_alpha_syn_flytracker.pdf,primary_research,quantitative locomotion candidate,LICENSE_REVIEW_REQUIRED,SELECTED,"FlyTracker velocity; unit of analysis and numerical SE require human confirmation."
pozo_2022_pink1_serotonin,An Early Disturbance in Serotonergic Neurotransmission Contributes to the Onset of Parkinsonian Phenotypes in Drosophila melanogaster,Pozo et al.,2022,Cells,10.3390/cells11091544,35563850,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,temporary/paper_pdf/pozo_2022_pink1_serotonin.pdf,primary_research,PINK1 locomotion context,LICENSE_REVIEW_REQUIRED,SELECTED,"Open-field distance/activity; do not relabel spread or convert the assay to speed without evidence."
hwang_2013_dj1_dlp,Drosophila DJ-1 Decreases Neural Sensitivity to Stress by Negatively Regulating Daxx-Like Protein through dFOXO,Hwang et al.,2013,PLOS Genetics,10.1371/journal.pgen.1003412,23593018,https://pmc.ncbi.nlm.nih.gov/articles/PMC3616925/,temporary/paper_pdf/hwang_2013_dj1_dlp.pdf,primary_research,DJ-1 validation evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"Climbing phenotype; validation-only while climbing endpoint is absent from the project."
godena_2014_lrrk2_microtubule,Increasing microtubule acetylation rescues axonal transport and locomotor deficits caused by LRRK2 Roc-COR domain mutations,Godena et al.,2014,Nature Communications,10.1038/ncomms6245,25316291,https://pmc.ncbi.nlm.nih.gov/articles/PMC4208097/,temporary/paper_pdf/godena_2014_lrrk2_microtubule.pdf,primary_research,LRRK2 validation evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"Climbing/flight and rescue context; do not map to walking speed automatically."
cha_2005_parkin_jnk_dopaminergic,Parkin negatively regulates JNK pathway in the dopaminergic neurons of Drosophila,Cha et al.,2005,PNAS,10.1073/pnas.0500346102,16002472,https://pubmed.ncbi.nlm.nih.gov/16002472/,temporary/paper_pdf/curated_sources/cha_2005_parkin_jnk_dopaminergic.pdf,primary_research,Parkin motor/neuron evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"Parkin loss-of-function, dopaminergic neuron and locomotion evidence; figure-level numeric review still required."
haywood_2004_parkin_alpha_synuclein_climbing,Parkin counteracts symptoms in a Drosophila model of Parkinsons disease,Haywood and Staveley,2004,BMC Neuroscience,10.1186/1471-2202-5-14,15090075,https://pubmed.ncbi.nlm.nih.gov/15090075/,temporary/paper_pdf/curated_sources/haywood_2004_parkin_alpha_synuclein_climbing.pdf,primary_research,Parkin/alpha-syn climbing validation,LICENSE_REVIEW_REQUIRED,SELECTED,"Genetic rescue and climbing phenotype; useful for validation, not a speed target."
liu_2008_lrrk2_parkinsonism,A Drosophila model for LRRK2-linked parkinsonism,Liu et al.,2008,PNAS,10.1073/pnas.0708452105,18258746,https://pubmed.ncbi.nlm.nih.gov/18258746/,temporary/paper_pdf/curated_sources/liu_2008_lrrk2_parkinsonism.pdf,primary_research,LRRK2 locomotion evidence,LICENSE_REVIEW_REQUIRED,SELECTED,"G2019S and wild-type LRRK2; climbing, dopaminergic loss and survival must remain separate endpoints."
aggarwal_2019_pd_locomotor_assay,A locomotor assay reveals deficits in heterozygous Parkinsons disease model and proprioceptive mutants in adult Drosophila,Aggarwal et al.,2019,PNAS,10.1073/pnas.1807456116,31748267,https://pubmed.ncbi.nlm.nih.gov/31748267/,temporary/paper_pdf/curated_sources/aggarwal_2019_pd_locomotor_assay.pdf,primary_research,high-resolution locomotion validation,LICENSE_REVIEW_REQUIRED,SELECTED,"Automated climbing/geotaxis assay; useful for endpoint design and validation, not direct planar-speed transfer."
poddighe_2014_pink1b9_climbing,Mucuna pruriens rescues motor olfactory mitochondrial and synaptic impairment in PINK1B9 Drosophila melanogaster genetic model of Parkinsons disease,Poddighe et al.,2014,PLOS ONE,10.1371/journal.pone.0110802,25340511,https://pubmed.ncbi.nlm.nih.gov/25340511/,temporary/paper_pdf/curated_sources/poddighe_2014_pink1b9_climbing.pdf,primary_research,PINK1 climbing context,EXPRESSION_OF_CONCERN_REVIEW_REQUIRED,SELECTED_WITH_RESTRICTION,"PINK1B9 climbing and age bins; use as context/validation only until expression-of-concern implications are reviewed."
