"record_id","paper_id","final_decision","metric","value","unit","uncertainty_type","uncertainty","sample_size","sample_unit","assay_transfer","allocation","reason","provenance","reviewer","review_date","notes_vi"
"pokrzywa_2017_alpha_syn_flytracker","pokrzywa_2017_alpha_syn_flytracker","PENDING_HUMAN_SIGNOFF","mean_planar_speed_mm_s","2.5","mm/s","SE","","3-10 independent vials","independent_vial","TRANSFER_REVIEW_REQUIRED","calibration_candidate","Figure 2A reports mean velocity and plus/minus SE; S6 contains p-values but no numeric SE for the day-21 bar. Exact independent-vial count at day 21 is not available.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117","Tuan Le","2026-08-30","Do not infer SE from pixels or coerce 3-10 vials into fly count. Public S6 supplementary PDF reviewed."
"pokrzywa_2017_alpha_syn_control","pokrzywa_2017_alpha_syn_control","PENDING_HUMAN_SIGNOFF","mean_planar_speed_mm_s","5.0","mm/s","SE","","3-10 independent vials","independent_vial","TRANSFER_REVIEW_REQUIRED","calibration_support","Paired control value described in the Results; numeric SE and exact day-21 unit of analysis remain unavailable.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117","Tuan Le","2026-08-30","Control row is retained for within-paper context and is not an approved target."
"pozo_2022_pink1_distance","pozo_2022_pink1_distance","PENDING_HUMAN_SIGNOFF","distance_traveled_mm","62.091","mm","IQR_with_min_max_ranges_reported","61.288","21","fly","TRANSFER_REVIEW_REQUIRED","holdout_candidate","Figure 3B reports a center with interquartile range and maximum/minimum ranges. Distance must not be converted to speed.","https://www.mdpi.com/2073-4409/11/9/1544","Tuan Le","2026-08-30","Potential holdout only after explicit distance-endpoint and assay-transfer signoff."
"pozo_2022_pink1_control_distance","pozo_2022_pink1_control_distance","CONTEXT_ONLY","distance_traveled_mm","323.326","mm","IQR_with_min_max_ranges_reported","236.209","20","fly","NOT_COMPARABLE","holdout_support","Control cohort for the Pink1B9 distance comparison; retained to define the paired contrast.","https://www.mdpi.com/2073-4409/11/9/1544","Tuan Le","2026-08-30","Not a standalone target."
"riemensperger_2011_dopamine_deficiency","riemensperger_2011_dopamine_deficiency","PENDING_HUMAN_SIGNOFF","median_planar_speed_mm_s","7.8","mm/s","NOT_REPORTED","","13","fly","TRANSFER_REVIEW_REQUIRED","none","The paper reports a median speed but no compatible numeric IQR or range in the reviewed material. Median cannot be relabeled as mean.","https://pmc.ncbi.nlm.nih.gov/articles/PMC3048124/","Tuan Le","2026-08-30","Dopamine deficiency is class-level context, not a gene-specific root-ID mapping."
"hwang_2013_dj1_climbing","hwang_2013_dj1_climbing","VALIDATION_ONLY","climbing_score","","percent","SE","","12","fly","VALIDATION_ONLY","none","Figure 5E reports mean plus/minus s.e. and n at least 12, but the exact bar center is not available as a machine-readable value and climbing is not an implemented FlyGym endpoint.","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003412","Tuan Le","2026-08-30","Do not convert climbing score to walking speed."
"godena_2014_lrrk2_r1441c_climbing","godena_2014_lrrk2_r1441c_climbing","VALIDATION_ONLY","climbing_score","","study_specific_score","SEM","","43","animal","VALIDATION_ONLY","none","LRRK2-R1441C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope.","https://www.nature.com/articles/ncomms6245","Tuan Le","2026-08-30","Retain as validation evidence only."
"godena_2014_lrrk2_y1699c_climbing","godena_2014_lrrk2_y1699c_climbing","VALIDATION_ONLY","climbing_score","","study_specific_score","SEM","","59","animal","VALIDATION_ONLY","none","LRRK2-Y1699C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope.","https://www.nature.com/articles/ncomms6245","Tuan Le","2026-08-30","Retain as validation evidence only."
"dumitrescu_2023_parkin_activity_day1","dumitrescu_2023_parkin_activity_day1","NOT_COMPARABLE","DAM_activity","30","percent_reduction_vs_control","NOT_REPORTED","","29","fly","NOT_COMPARABLE","none","DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model.","https://pubmed.ncbi.nlm.nih.gov/36576890/","Tuan Le","2026-08-30","Retain as age-dependent activity context."
"dumitrescu_2023_parkin_activity_day45","dumitrescu_2023_parkin_activity_day45","NOT_COMPARABLE","DAM_activity","85","percent_reduction_vs_control","NOT_REPORTED","","52","fly","NOT_COMPARABLE","none","DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model.","https://pubmed.ncbi.nlm.nih.gov/36576890/","Tuan Le","2026-08-30","Retain as age-dependent activity context."
