record_id,paper_id,priority,gene_model,genotype,age_days,sex,assay,metric,value,unit,statistic,uncertainty_type,uncertainty,sample_size,sample_unit,unit_of_analysis,figure_table,doi_pmid,assay_transfer_to_flygym,allocation,decision,root_id_mapping_decision,reviewer,review_date,provenance,notes
pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,calibration_candidate,human_alpha_synuclein,"w; +; UAS-Hsap/nSyb-Gal4",21,female,FlyTracker locomotion tracking in vials,mean_planar_speed_mm_s,2.5,mm/s,mean,SE,,3-10,independent_vial,"vial; 10 female flies/vial; two sequences averaged per vial",Figure 2A; Results,10.1371/journal.pone.0184117,TRANSFER_REVIEW_REQUIRED,calibration_candidate,PENDING_HUMAN_SIGNOFF,"WAITING_REVIEWED_ROOT_ID_MAPPING; pan-neuronal nSyb-GAL4 is not a reviewed root-ID set",Tuan Le,2026-08-30,"PDF methods report 10 flies/vial and 3-10 independent vials; results report days 1/7/16/21/30/42 and mean velocity drop 5.6 to 2.5 mm/s; Figure 2 legend says mean values and +/- SE","Do not approve until numeric SE is extracted and unit-of-analysis policy is accepted. Do not coerce 3-10 vials into fly count."
pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,paired_control_for_calibration_candidate,control_for_alpha_synuclein,"w; +; UAS-Hsap/+",21,female,FlyTracker locomotion tracking in vials,mean_planar_speed_mm_s,5.0,mm/s,mean,SE,,3-10,independent_vial,"vial; 10 female flies/vial; two sequences averaged per vial",Figure 2A; Results,10.1371/journal.pone.0184117,TRANSFER_REVIEW_REQUIRED,calibration_support_candidate,PENDING_HUMAN_SIGNOFF,CONTROL_NO_GENE_SPECIFIC_ROOT_ID,Tuan Le,2026-08-30,"Same within-paper control; PDF results report control mean velocity 6 to 5 mm/s within first 3 weeks.","Needed for delta_lit but still lacks numeric SE and exact unit-of-analysis approval."
pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,holdout_candidate,pink1,Pink1B9,28,not_reported_in_extracted_section,Open-field locomotor tracking,distance_traveled_mm,62.091,mm,paper_reported_center,IQR_with_min_max_ranges_reported,61.288,21,fly,fly,Figure 3B,10.3390/cells11091544; PMID:35563850,TRANSFER_REVIEW_REQUIRED,holdout_candidate,PENDING_HUMAN_SIGNOFF,"MODEL_SCOPE_NOT_CELL_SPECIFIC; organism-level Pink1B9 mutant",Tuan Le,2026-08-30,"PDF Figure 3 caption reports n=20/28/21/23 and data as interquartile range with maximum/minimum ranges; results report Pink1B9 distance 62.091 +/- 61.288 mm vs control 323.326 +/- 236.209.","Good holdout candidate only if distance_traveled_mm/path-length endpoint and spread policy are approved. Do not force into speed."
pozo_control_distance_day28,pozo_2022_pink1_serotonin,paired_control_for_holdout_candidate,control_for_pink1,w1118,28,not_reported_in_extracted_section,Open-field locomotor tracking,distance_traveled_mm,323.326,mm,paper_reported_center,IQR_with_min_max_ranges_reported,236.209,20,fly,fly,Figure 3B,10.3390/cells11091544; PMID:35563850,TRANSFER_REVIEW_REQUIRED,holdout_support_candidate,PENDING_HUMAN_SIGNOFF,CONTROL_NO_GENE_SPECIFIC_ROOT_ID,Tuan Le,2026-08-30,"Same Pozo Figure 3B control cohort; PDF reports control distance 323.326 +/- 236.209 mm.","Needed for delta_lit if Pozo distance becomes holdout."
pozo_pink1_activity_time_day28,pozo_2022_pink1_serotonin,validation_context,pink1,Pink1B9,28,not_reported_in_extracted_section,Open-field locomotor tracking,activity_time_s,11.865,s,paper_reported_center,IQR_with_min_max_ranges_reported,12.914,21,fly,fly,Figure 3C,10.3390/cells11091544; PMID:35563850,NOT_COMPARABLE_AS_SPEED,,NOT_COMPARABLE,MODEL_SCOPE_NOT_CELL_SPECIFIC,Tuan Le,2026-08-30,"PDF reports Pink1B9 activity time 11.865 +/- 12.914 s vs control 51.894 +/- 32.409 s.","Do not convert to speed or pause fraction without a separate approved mapping rule."
riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,pending_median_candidate,dopamine_deficiency,"DTHgFS+/-; ple",2-5,female,"Spontaneous walking in open arena; individual flight-disabled flies; 15 min",median_planar_speed_mm_s,7.8,mm/s,median,,,13,fly,fly,Figure 2A; Results,10.1073/pnas.1010930108; PMID:21187381,TRANSFER_REVIEW_REQUIRED,,PENDING_HUMAN_SIGNOFF,"CLASS_LEVEL_EXPLORATORY_ONLY; NOT_GENE_SPECIFIC",Tuan Le,2026-08-30,"PDF reports DTHgFS+/-; ple walking speed median 7.8 mm/s, DTHg;ple 10.8, WT 15; methods report 2- to 5-day-old adults walking 15 min in open arena.","Keep pending. Do not approve as mean speed; no numeric compatible spread in target schema."
riemensperger_distance_day5,riemensperger_2011_dopamine_deficiency,pending_median_candidate,dopamine_deficiency,"DTHgFS+/-; ple",2-5,female,"Spontaneous walking in open arena; individual flight-disabled flies; 15 min",median_distance_covered_cm_15min,193,cm/15min,median,,,13,fly,fly,Figure 2A; Results,10.1073/pnas.1010930108; PMID:21187381,TRANSFER_REVIEW_REQUIRED,,PENDING_HUMAN_SIGNOFF,"CLASS_LEVEL_EXPLORATORY_ONLY; NOT_GENE_SPECIFIC",Tuan Le,2026-08-30,"PDF reports DTHgFS+/-; ple median distance 193 cm vs DTHg;ple 425 cm and WT 474 cm over 15 min.","Useful as distance phenotype but not directly supported by current target schema."
hwang_dj1_climbing_day5,hwang_2013_dj1_dlp,validation_only,dj1,DJ-1betaex54,5,male,Negative geotaxis climbing assay,climbing_score,,percent,mean,SE,,12,independent_test_or_group_minimum,"10 male flies/test; ten trials per group; repeated at least 10 times",Figure 5E; Methods climbing assay,10.1371/journal.pgen.1003412; PMID:23593018,VALIDATION_ONLY,,VALIDATION_ONLY,"NOT_MAPPABLE_FROM_PAPER; DO_NOT_INFER_ROOT_IDS",Tuan Le,2026-08-30,"PDF caption: 5-day-old flies, n>=12, mean +/- s.e.; methods: 10 male flies, top of vial within 4 s, ten trials, repeated at least 10 times.","No current climbing endpoint; do not use as speed calibration."
godena_lrrk2_r1441c_climbing,godena_2014_lrrk2_microtubule,validation_only,lrrk2,D42-GAL4 > human LRRK2-R1441C,6-7,not_reported,"Climbing and flight assay; D42-GAL4 motor-neuron expression",climbing_score,,study_specific_score,mean,SEM,,43,animal,animal,Figure 6C; Supplementary Figure 3C,10.1038/ncomms6245,VALIDATION_ONLY,,VALIDATION_ONLY,"NOT_MAPPABLE_TO_CURRENT_CONNECTOME; REQUIRES_BRAIN_VNC_SCOPE_REVIEW",Tuan Le,2026-08-30,"PDF reports mutant LRRK2 caused decreased climbing/flight; Fig 6C right chart R1441C Ctrl N=43; methods report animals 6-7 days old after treatment protocol.","Strong biological evidence, but no approved climbing/flight endpoint and VNC root-ID provenance."
godena_lrrk2_y1699c_climbing,godena_2014_lrrk2_microtubule,validation_only,lrrk2,D42-GAL4 > human LRRK2-Y1699C,6-7,not_reported,"Climbing and flight assay; D42-GAL4 motor-neuron expression",climbing_score,,study_specific_score,mean,SEM,,59,animal,animal,Figure 6C; Supplementary Figure 3C,10.1038/ncomms6245,VALIDATION_ONLY,,VALIDATION_ONLY,"NOT_MAPPABLE_TO_CURRENT_CONNECTOME; REQUIRES_BRAIN_VNC_SCOPE_REVIEW",Tuan Le,2026-08-30,"PDF reports mutant LRRK2 caused decreased climbing/flight; Fig 6C left chart Y1699C Ctrl N=59; methods report animals 6-7 days old after treatment protocol.","Strong biological evidence, but no approved climbing/flight endpoint and VNC root-ID provenance."
dumitrescu_parkin_activity_day1,dumitrescu_2023_parkin_rnai,not_comparable_for_speed,parkin,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,1,male,Drosophila Activity Monitor infrared beam-break counts,DAM_activity,30,percent_reduction_vs_age_matched_control,relative_difference,,,29,fly,fly,Figure 1; existing fulltext fallback,10.1021/acschemneuro.2c00277; PMID:36576890,NOT_COMPARABLE,,NOT_COMPARABLE,"WAITING_REVIEWED_ROOT_ID_MAPPING; TH-GAL4 class not gene-specific root-ID set",Tuan Le,2026-08-30,"Main behavior value from prior reviewed full-text fallback; uploaded supplemental file is methods/supporting information only.","Do not use for speed calibration."
dumitrescu_parkin_activity_day45,dumitrescu_2023_parkin_rnai,not_comparable_for_speed,parkin,UAS-mCD8-GFP; TH-GAL4/UAS-parkin-RNAi,45,male,Drosophila Activity Monitor infrared beam-break counts,DAM_activity,85,percent_reduction_vs_age_matched_control,relative_difference,,,52,fly,fly,Figure 1; existing fulltext fallback,10.1021/acschemneuro.2c00277; PMID:36576890,NOT_COMPARABLE,,NOT_COMPARABLE,"WAITING_REVIEWED_ROOT_ID_MAPPING; TH-GAL4 class not gene-specific root-ID set",Tuan Le,2026-08-30,"Main behavior value from prior reviewed full-text fallback; uploaded supplemental file is methods/supporting information only.","Do not use for speed calibration."
