path,line,occurrence,classification,definition,compatible_canonical_metric,conversion_reason,ambiguity_status
calibration_targets/targets.csv,2,walking_speed,LEGACY_ALIAS_UNPROVEN,"chen_2014_adult_walking,human_alpha_synuclein,A30P,30,male,adult horizontal walking,mean_planar_speed_mm_s,4.875,mm/s,CI95,0.525,20,Figure 4f,10.1111/gbb.12172; PMID:25113870; PMCID:PMC4262005,approved,reviewer=Lê Tấn Vĩ;review_date=2026-09",NONE_UNTIL_REVIEW,definition does not prove equivalence,LEGACY_ALIAS_UNPROVEN
configs/healthy_baseline_reproducible.yaml,49,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,walking_speed_positive: true,NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
configs/publication_pipeline.yaml,13,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,calibration_target: Chen_2014_adult_horizontal_walking_speed,NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
datasets/literature_phenotypes/phenotype_records.csv,2,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,dopamine_deficiency,neural_dopamine_deficient,DTHg^FS/+; ple,female,5,Spontaneous walking in an open arena,walking_speed,median,7.8,mm/s,,,13 flies,Figure 2A,https://pubmed.ncb",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
datasets/literature_phenotypes/phenotype_records.csv,3,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"pokrzywa_alpha_speed_day1,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,alpha_synuclein_expression,w; +; UAS-Hsap/nSyb-Gal4,female,1,FlyTracker locomotion tracking in vials,walking_speed,mean,5.6,mm/s,SE,,3-10 independent vials; ",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
datasets/literature_phenotypes/phenotype_records.csv,4,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,alpha_synuclein_expression,w; +; UAS-Hsap/nSyb-Gal4,female,21,FlyTracker locomotion tracking in vials,walking_speed,mean,2.5,mm/s,SE,,3-10 independent vials",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
datasets/literature_phenotypes/phenotype_records.csv,5,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"pokrzywa_control_speed_day1,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,transgenic_control,w; +; UAS-Hsap/+,female,1,FlyTracker locomotion tracking in vials,walking_speed,mean,6.0,mm/s,SE,,3-10 independent vials; 10 flies per v",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
datasets/literature_phenotypes/phenotype_records.csv,6,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"pokrzywa_control_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,transgenic_control,w; +; UAS-Hsap/+,female,21,FlyTracker locomotion tracking in vials,walking_speed,mean,5.0,mm/s,SE,,3-10 independent vials; 10 flies per",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
docs/analysis_protocol.md,36,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,"| `walking_speed_mm_s` | Scalar metric do runner ghi; không tự đổi median thành mean | Có điều kiện khi statistic, assay và target tương thích | Có |",NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
docs/baseline/gate_11_healthy_baseline_report.md,49,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,| `walking_speed_max_mm_s` | 6 | 33.52460532987854 | 6.2849027727605105 | 2.565800812711071 |,NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
docs/baseline/gate_11_healthy_baseline_report.md,50,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,| `walking_speed_mm_s` | 6 | 3.0548045197540716 | 0.2353069658831898 | 0.09606366655605078 |,NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
docs/baseline/gate_11_healthy_baseline_report.md,61,walking_speed,AMBIGUOUS_REQUIRES_REVIEW,- Raw runtime metric: `walking_speed_mm_s`.,NONE_UNTIL_REVIEW,walking_speed is not a canonical endpoint,AMBIGUOUS_REQUIRES_REVIEW
